Date : 2026-04-16 00:33:09
Directory : f:\Coding\studentmanagement
Total : 210 files,  8410 codes, 629 comments, 1290 blanks, all 10329 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| f:\Coding\studentmanagement\src\main\resources\templates\teachers.html                                  | HTML            |         31 |          0 |          6 |         37 |
| f:\Coding\studentmanagement\src\test\java\com\sms\controller\DashboardControllerTest.java               | Java            |         96 |          0 |         18 |        114 |
| f:\Coding\studentmanagement\src\test\java\com\sms\service\DashboardServiceTest.java                     | Java            |         45 |          0 |         13 |         58 |
| f:\Coding\studentmanagement\target\classes\application-postgres.properties                              | Java Properties |          9 |          0 |          3 |         12 |
| f:\Coding\studentmanagement\target\classes\application.properties                                       | Java Properties |         17 |          7 |          8 |         32 |
| f:\Coding\studentmanagement\target\classes\com\sms\StudentManagementApplication.class                   | Java            |          9 |          0 |          0 |          9 |
| f:\Coding\studentmanagement\target\classes\com\sms\config\DemoDataLoader.class                          | Java            |         79 |          0 |          0 |         79 |
| f:\Coding\studentmanagement\target\classes\com\sms\config\JwtAuthenticationFilter.class                 | Java            |         28 |          0 |          0 |         28 |
| f:\Coding\studentmanagement\target\classes\com\sms\config\SecurityConfig.class                          | Java            |         25 |         35 |          0 |         60 |
| f:\Coding\studentmanagement\target\classes\com\sms\config\WebSocketConfig.class                         | Java            |         11 |          0 |          0 |         11 |
| f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminApiController.class                  | Java            |         31 |          0 |          0 |         31 |
| f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminController.class                     | Java            |         25 |          0 |          0 |         25 |
| f:\Coding\studentmanagement\target\classes\com\sms\controller\ApiAuthController.class                   | Java            |         15 |          0 |          0 |         15 |
| f:\Coding\studentmanagement\target\classes\com\sms\controller\ApiExceptionHandler.class                 | Java            |         34 |          0 |          0 |         34 |
| f:\Coding\studentmanagement\target\classes\com\sms\controller\AuthController.class                      | Java            |          9 |          0 |          0 |          9 |
| f:\Coding\studentmanagement\target\classes\com\sms\controller\DashboardController.class                 | Java            |         15 |          0 |          0 |         15 |
| f:\Coding\studentmanagement\target\classes\com\sms\controller\PortalController.class                    | Java            |          8 |          0 |          0 |          8 |
| f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentController.class                   | Java            |          6 |          0 |          0 |          6 |
| f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherApiController.class                | Java            |         33 |          0 |          0 |         33 |
| f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherController.class                   | Java            |          6 |          0 |          0 |          6 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\auth\LoginRequest.class                          | Java            |          8 |          0 |          0 |          8 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\auth\LoginResponse.class                         | Java            |          8 |          0 |          0 |          8 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\AssignTeacherRequest.class             | Java            |          8 |          0 |          0 |          8 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\ClassDTO.class                         | Java            |         16 |          0 |          0 |         16 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CourseProgressDto.class                | Java            |         22 |          0 |          0 |         22 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CreateSubjectRequest.class             | Java            |         19 |          0 |          0 |         19 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CreateTaskRequest.class                | Java            |         10 |          0 |          0 |         10 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\DashboardDTO.class                     | Java            |         18 |          0 |          0 |         18 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\DashboardResponse.class                | Java            |         16 |          0 |          0 |         16 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\EnrollStudentRequest.class             | Java            |          8 |          0 |          0 |          8 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\ScheduleClassRequest.class             | Java            |         11 |          0 |          0 |         11 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\StudentProgressViewDto.class           | Java            |         10 |          0 |          0 |         10 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\SubjectDTO.class                       | Java            |         16 |          0 |          0 |         16 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\TaskDto.class                          | Java            |         14 |          0 |          0 |         14 |
| f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\UpcomingClassDto.class                 | Java            |         16 |          0 |          0 |         16 |
| f:\Coding\studentmanagement\target\classes\com\sms\model\Admin.class                                    | Java            |         10 |          0 |          0 |         10 |
| f:\Coding\studentmanagement\target\classes\com\sms\model\ClassSession.class                             | Java            |         16 |          0 |          0 |         16 |
| f:\Coding\studentmanagement\target\classes\com\sms\model\Course.class                                   | Java            |         20 |          0 |          0 |         20 |
| f:\Coding\studentmanagement\target\classes\com\sms\model\Enrollment.class                               | Java            |         14 |          0 |          3 |         17 |
| f:\Coding\studentmanagement\target\classes\com\sms\model\LoginUser.class                                | Java            |          7 |          0 |          0 |          7 |
| f:\Coding\studentmanagement\target\classes\com\sms\model\Person.class                                   | Java            |          8 |          0 |          0 |          8 |
